name,jurisdiction
QUDS RAZAVI HOUSING AND CONSTRUCTION CO.,ir
QUDS RAZAVI MINES CO.,ir
QUDS RAZAVI TRADITIONAL TILE CO.,ir
RAZAVI BROKERAGE FIRM,ir
RAZAVI ECONOMIC ORGANIZATION,ir
RAZAVI OIL AND GAS DEVELOPMENT CO.,ir
SHAHAB KHODRO CO.,ir
IRAN COMBINE MANUFACTURING CO.,ir
RAZAVI INFORMATION AND COMMUNICATION TECHNOLOGY CO.,ir
RAZAVI SUPPLY CHAIN MANAGEMENT CO.,ir
MOFIDRAHBAR AUDIT FIRM,ir
TADBIR DRILLING DEVELOPMENT COMPANY,ir
ABADAN POWER GENERATION COMPANY,ir
IRAN MOBIN ELECTRONIC DEVELOPMENT COMPANY,ir
BARKAT VENTURES,ir
KEEN WELL INTERNATIONAL LIMITED,ir
GX SHIPPING FZE,ir
KHARG PETROCHEMICAL COMPANY LIMITED,ir
SPECIAL UNITS OF IRAN'S LAW ENFORCEMENT FORCES,ir
IRAN'S COUNTER-TERROR SPECIAL FORCES,ir
FANAVARAN PETROCHEMICAL COMPANY,ir
FUTURE GATE FUEL AND PETROCHEMICAL TRADING L.L.C.,ir
MARUN PETROCHEMICAL COMPANY,ir
SKY ZONE TRADING FZE,ir
TEAMFORD ENTERPRISES LIMITED,ir
YOUCHEM GENERAL TRADING FZE,ir
ZAHEDAN PRISON,ir
ISFAHAN CENTRAL PRISON,ir
JAM PETROCHEMICAL COMPANY,ir
PETROGAT FZE,ir
EMERALD FZE,ir
PERSIAN GULF STAR OIL COMPANY,ir
TRUONG PHAT LOC SHIPPING TRADING JOINT STOCK COMPANY,ir
EAST OCEAN RASHIN SHIPPING CO,ir
EDGAR COMMERCIAL SOLUTIONS FZE,ir
LUSTRO INDUSTRY LIMITED,ir
"OLIGEI INTERNATIONAL TRADING CO., LIMITED",ir
ZAGROS TARABARAN-E ARYA,ir
ALI ALMUTAWA PETROLEUM AND PETROCHEMICAL TRADING L.L.C.,ir
PETROKICK LLC,ir
EVERWIN SHIPMANAGEMENT PTE. LTD.,ir
BLUE CACTUS HEAVY EQUIPMENT AND MACHINERY SPARE PARTS TRADING L.L.C.,ir
FARWELL CANYON HK LIMITED,ir
"SHEKUFEI INTERNATIONAL TRADING CO., LIMITED",ir
PZNFR TRADING LIMITED,ir
"ZHONGGU STORAGE AND TRANSPORTATION CO., LTD.",ir
PIONEER SHIPMANAGEMENT PTE. LTD.,ir
WS SHIPPING CO. LTD.,ir
GOLDEN WARRIOR SHIPPING CO. LIMITED,ir
"BARZA STYLE & MODE CO., LIMITED",ir
VIRGO MARINE,ir
IRAN'S MORALITY POLICE,ir
IRAN CHEMICAL INDUSTRIES INVESTMENT COMPANY PUBLIC JOINT STOCK,ir
MIDDLE EAST KIMIYA PARS CO.,ir
ML HOLDING GROUP LIMITED,ir
TIBALAJI PETROCHEM PRIVATE LIMITED,ir
SIERRA VISTA TRADING LIMITED,ir
SOPHYCHEM HK LIMITED,ir
CLARA SHIPPING LLC,ir
SAMANE GOSTAR SAHAB PARDAZ PRIVATE LIMITED COMPANY,ir
BUSHEHR PRISON,ir
"UTELIZ RESOURCES CO., LIMITED",ir
ASIAN ZONE TRADING L.L.C,ir
GALAXY PETROCHEMICAL FZE,ir
NEWTON TRADING FZE,ir
SUM FIVE PETROCHEMICALS TRADING L.L.C,ir
MONCH GENERAL TRADING L.L.C.,ir
ACCESS TECHNOLOGY TRADING L.L.C,ir
HIGHLINE LOGISTIC HK LIMITED,ir
"HONG KONG AEONIAN COMPLEX CO., LIMITED",ir
"ZHEJIANG WONDER IMP. AND EXP. CO., LTD.",ir
"TORGAN CO., LIMITED",ir
"EAST ASIA TRADING IMPORT AND EXPORT TRADE CO., LTD.",ir
RUSSIAN AEROSPACE FORCES,ir
924TH STATE CENTER FOR UAV AVIATION,ir
COMMAND OF THE MILITARY TRANSPORT AVIATION,ir
IMEN SANAT ZAMAN FARA COMPANY,ir
AMIR KABIR PETROCHEMICAL COMPANY,ir
SIMORGH PETROCHEMICAL COMPANY,ir
ASIA FUEL PTE. LTD.,ir
SENSE SHIPPING AND TRADING SDN. BHD.,ir
UNICIOUS ENERGY PTE. LTD.,ir
LALEH PETROCHEMICAL COMPANY,ir
MARUN TADBIR TINA COMPANY,ir
MARUN SEPEHR OFOGH COMPANY,ir
MARUN SUPPLEMENTAL INDUSTRIES COMPANY,ir
"GLOBAL MARINE SHIP MANAGEMENT CO., LTD.",ir
BUSHEHR PETROCHEMICAL COMPANY,ir
SHANGHAI XUANRUN SHIPPING COMPANY LIMITED,ir
SHIRAZ PETROCHEMICAL COMPANY,ir
GOLDEN LOTUS OIL GAS AND REAL ESTATE JOINT STOCK COMPANY,ir
GLOBAL VISINESS PTE. LTD.,ir
"GOLDENIX CO., LIMITED",ir
"NINGBO MORE INTEREST I/E CO., LTD.",ir
"HK SIHAI YINGTONG INDUSTRY CO., LIMITED",ir
"HONGKONG CANWAY CO., LIMITED",ir
JIN XIN NUO TRADING LIMITED,ir
"MELIKAL FOR MEDICAL & MEDICINE TRADING CO., LIMITED",ir
NAAB KIMYA DIS TICARET LIMITED SIRKETI,ir
HERSTEL TRADING LIMITED,ir
"HORRYZIN INTERNATIONAL TRADE CO., LIMITED",ir
ALBAHR ALAAHMAR OFFSHORE REFINED OIL PRODUCT TRADING L.L.C,ir
ALBAHR ALAAHMAR ENERGY FZE,ir
LONGFORD TRADING L.L.C,ir
NASHVILLE HK LIMITED,ir
NORD TRADING L.L.C,ir
SALITA TRADE LIMITED,ir
SHAMS ALRABEEA CHEMICALS TRADING L.L.C,ir
AL KASHAF PETROLEUM AND PETROCHEMICAL TRADING L.L.C,ir
"UNITE RESOURCES CO., LIMITED",ir
QI GROUP LIMITED,ir
UNIVEST LIMITED,ir
"MULTI WELL TRADING CO., LIMITED",ir
BAVI GENERAL TRADING CO L.L.C,ir
"MARAFI INTERNATIONAL TRADING CO., LIMITED",ir
SPARROW TRADING FZE,ir
GREENLAND OIL & GAS TRADING FZE,ir
LOWELL LIMITED,ir
DRAGON TRADING LIMITED,ir
ALLIANCE ENERGY PVT. LIMITED,ir
ALSHIVAN LINE TRADING FZE,ir
HONGKONG WELL INTERNATIONAL TRADING LIMITED,ir
BORDO PLASTIC MATERIALS TRADING L.L.C,ir
DAYAN GLOBAL TRADE DIS TICARET ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI,ir
FAIRTRADE NON EDIBLE OIL AND LIQUEFIED NATURAL GAS TRADING L.L.C,ir
FAMIN FZE,ir
FORABEN TRADING LIMITED,ir
MEHR PETROCHEMICAL COMPANY,ir
KAMBIZ NABIZADEH AND PARTNERS EXCHANGE,ir
GLOTREASURE COMPANY LIMITED,ir
NAJI PAS COMPANY,ir
NAJI PARS AMIN INSTITUTE,ir
ENTEBAGH GOSTAR SEPEHR COMPANY,ir
NAVYAN ABR ARVAN PRIVATE LIMITED COMPANY,ir
ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C.,ir
YAFTAR PAZHOHAN PISHTAZ RAYANESH LIMITED COMPANY,ir
TASNIM NEWS AGENCY,ir
FARS NEWS AGENCY,ir
PRESS TV,ir
ISLAMIC REPUBLIC OF IRAN AIR FORCE,ir
MAX MARITIME SOLUTIONS FZE,ir
AL ANCHOR SHIP MANAGEMENT FZE,ir
ALMANAC SHIP MANAGEMENT LLC,ir
SEA ROUTE SHIP MANAGEMENT FZE,ir
GOOD RUN LIMITED,ir
MAGELLANIC PHOENIX MARINE AND TRADING LIMITED,ir
HSF DIS TICARET LIMITED SIRKETI,ir
PSI DMCC,ir
KARA INDUSTRIAL TRADING GMBH,ir
JAZIRA DAS INTERNATIONAL REFINDED OIL PRODUCTS TRADING L.L.C,ir
DERECTTOR COMPANY LIMITED,ir
CATHAY HARVEST MARINE LTD,ir
ELZA SHIPPING SA,ir
DAVINA SHIPPING INC,ir
DIAMANTE TANKERS INCORPORATED,ir
DELNAZ SHIP MANAGEMENT SDN BHD,ir
RITA SHIPPING INC,ir
HARRY VICTOR SHIP MANAGEMENT AND OPERATION L.L.C,ir
STRONG ROOTS PROVIDER NV,ir
GLAZING FUTURE MANAGEMENT NV,ir
ENGEN MANAGEMENT NV,ir
GABBARO SHIP SERVICES PVT LTD,ir
ALYA MARINE SENDIRIAN BERHAD,ir
CELIA ARMAS LTD,ir
SAAD SAZEH FARAZ SHARIF,ir
CHEKAD SANAT FARAZ ASIA,ir
YURIMAGUAS LTD,ir
LIGHTSHIP MANAGEMENT LTD,ir
CERES SHIPPING LIMITED,ir
EUNOMIA LIMITED,ir
LUFINDO HOLDING LIMITED,ir
INAYA SHIP MANAGEMENT PRIVATE LIMITED,ir
GALILEOS MARINE SERVICES L.L.C,ir
OCEAN GLORY GIANT OGG SA,ir
"GAFFODIL CO., LIMITED",ir
VISION SHIP MANAGEMENT LLP,ir
TIGHTSHIP SHIPPING MANAGEMENT (OPC) PRIVATE LIMITED,ir
SHANGHAI LEGENDARY SHIP MANAGEMENT COMPANY LIMITED,ir
SHANGHAI FUTURE SHIP MANAGEMENT CO LTD,ir
CONSTELLATION MARITIME SERVICES LIMITED,ir
SAO VIET PETROL TRANSPORTATION COMPANY LIMITED,ir
GHEZEL HESAR PRISON,ir
ROSE SHIPPING LIMITED,ir
JOURNEY INVESTMENT COMPANY,ir
GALAXY MANAGEMENT NV,ir
ATLANTIC NAVIGATION OPC PRIVATE LIMITED,ir
"MASTER JOINT CO., LIMITED",ir
PASSADA MARITIME LIMITED,ir
BRECALIN HONG KONG CO LTD,ir
SHINY SAILS SHIPPING LTD,ir
ARSA GAS COMPANY,ir
NILGON PARSA CASPIAN SHIPPING COMPANY,ir
PARSA FIDAR PAYDAR ENGINEERING AND TECHNOLOGY COMPANY,ir
PARSA SALAKH QESHM INDUSTRIAL COMPLEX,ir
CASPIAN PETROCHEMICAL FZE,ir
PARSA TRABAR CASPIAN INTERNATIONAL TRANSPORTATION COMPANY,ir
PEARL PETROCHEMICAL FZE,ir
PARSA TRABAR PERSIA INTERNATIONAL TRANSPORTATION COMPANY,ir
PASAR GAS COMPANY,ir
PASAR GAS NOVIN TRADING COMPANY,ir
WORLDWIDE LPG LIMITED,ir
PETRO PARSA CASPIAN IRANIAN COMPANY,ir
"YOUNG FOLKS INTERNATIONAL TRADING CO., LIMITED",ir
FLUX MARITIME LLP,ir
NYCITY SHIPMANAGEMENT CO LTD,ir
BSM MARINE LIMITED LIABILITY PARTNERSHIP,ir
COSMOS LINES INC,ir
AUSTINSHIP MANAGEMENT PRIVATE LIMITED,ir
KANGAN PETRO REFINING COMPANY,ir
OCTANE ENERGY GROUP FZCO,ir
ALKONOST MARITIME DMCC,ir
LUCKY OCEAN SHIPPING LIMITED,ir
LE MONDE MARINE SERVICES LIMITED,ir
PETRONIX ENERGY TRADING LIMITED,ir
IRANIAN OIL TERMINALS COMPANY,ir
PETROQUIMICO FZE,ir
SUNNY LAND TRADING LTD,ir
GREEN GARDEN TRADING LTD,ir
ARTEMIS HEART LTD,ir
OCEANEND SHIPPING LTD,ir
IMS LTD,ir
SEA SERVICES PROVIDERS NV,ir
TURQUOISE SEA MARINE LIMITED,ir
AREN SHIP MANAGEMENT,ir
FALLON SHIPPING COMPANY LIMITED,ir
HONG KONG HESHUN TRANSPORTATION TRADING LIMITED,ir
"SEASKY MARINE CO., LIMITED",ir
CELESTITE MARITIME INC,ir
MARINE SOLUTION PVT LTD,ir
NEPTUNE MARINE LTD,ir
UNITED TANKERS LTD,ir
HUAXIA TRADING LTD,ir
ITAUGUA SERVICES INC,ir
LAKE VIEW SHIP MANAGEMENT PRIVATE LIMITED,ir
"SUN SCIENCE INTERNATIONAL CO., LIMITED",ir
PT. BINTANG SAMUDRA UTAMA,ir
SHIPLOAD MARITIME PTE. LTD.,ir
PT. GIANIRA ADHINUSA SENATAMA,ir
"SHANDONG SHOUGUANG LUQING PETROCHEMICAL CO., LTD.",ir
CITYWALLSHIP MANAGEMENT CO LTD,ir
PLACENCIA SERVICES INCORPORATION,ir
"JETEE CO., LIMITED",ir
BRITNEY RYDER LIMITED,ir
SEAPALM SHIPPING LIMITED,ir
ASTRID MENKS LIMITED,ir
CANES VENATICI LIMITED,ir
SEA BREEZE SHIPPING INC,ir
SETASEAN SHIP MANAGEMENT LIMITED,ir
LYRARI GROUP LTD,ir
ZENITH BRIDGE INC,ir
"HUAYING HUIZHOU DAYA BAY PETROCHEMICAL TERMINAL STORAGE CO., LTD",ir
OCEANIC ORBIT INCORPORATED,ir
PRO MISSION SDN BHD,ir
PRIME TANKERS LLC,ir
GLORY INTERNATIONAL FZ-LLC,ir
VALIANT MARINE VENTURES FZE,ir
GLOBAL TANKERS PRIVATE LIMITED,ir
RISING PHOENIX PROVIDER NV,ir
MARZIYA SHIPPING OPC PVT LTD,ir
B AND P SOLUTIONS PRIVATE LIMITED,ir
"GUANGSHA ZHOUSHAN ENERGY GROUP CO., LTD.",ir
"DEXIANG SHIPPING CO., LIMITED",ir
BESTLA COMPANY LIMITED,ir
CIVIC CAPITAL SHIPPING INC.,ir
STARBOARD SHIPPING INC.,ir
"SHANDONG SHENGXING CHEMICAL CO., LTD.",ir
SOLVENT ORGANICS FZE,ir
ALSEERAH TRADING L.L.C,ir
HAROLD TRADING L.L.C,ir
SHIVNANI ORGANICS FZE,ir
KIMPAS KIMYEVI MADDELER PAZARLAMA TICARET VE SANAYII ANONIM SIRKETI,ir
VROOM MARINE VENTURE FZE,ir
KEYHAN SANJESH AZMA TECHNICAL QUANTITY AND QUALITY INTERNATIONAL INSPECTION CO.,ir
"HEBEI XINHAI CHEMICAL GROUP CO., LTD.",ir
XING AO ENERGY PTE. LTD.,ir
NISSHO LINES INCORPORATED,ir
EMBRACE QUE LIMITED,ir
"BAOGANG DONGYING DONGGANG LOGISTICS AND WAREHOUSING CO., LTD.",ir
"SHANDONG JINGANG PORT CO., LTD.",ir
"SHANDONG BAOGANG INTERNATIONAL PORT CO., LTD.",ir
STAR TWINKLE SHIPPING LIMITED,ir
"HONG KONG PRIME TRADING CO., LIMITED",ir
SKADI LIMITED,ir
PROPITIOUS FOREVER TRADING CO LTD,ir
BSTSHESH HK LIMITED,ir
NASSER ZARRIN GHALAM AND PARTNERS COMPANY,ir
CHUNLING HK LIMITED,ir
FITAGE LIMITED,ir
GUTOWN TRADE LIMITED,ir
HERO COMPANION LIMITED,ir
KINLERE TRADING LIMITED,ir
KONOSAG TRADING LIMITED,ir
LASTSIX TRADING LIMITED,ir
MAGICAL EAGLE LIMITED,ir
MARLENA TRADING LIMITED,ir
PLZCOME LIMITED,ir
PRETTYANDY TRADING LIMITED,ir
PROFU COMPANY LIMITED,ir
QUESTANO HK LIMITED,ir
SALEDIGE TRADING LIMITED,ir
XIA TRADING LIMITED,ir
YIMINAI AUTOPARTS TRADING LIMITED,ir
MANSOUR ZARRIN GHALAM AND PARTNERS COMPANY,ir
ZARRIN GHALAM AND PARTNERS COMPANY,ir
ZARRIN TEHRAN INVESTMENT COMPANY,ir
KIMIA SADR PASARGAD COMPANY,ir
WIDE VISION GENERAL TRADING L.L.C,ir
J.S SERENITY TRADING FZE,ir
GOLDEN PEN GENERAL TRADING L.L.C,ir
MODERATE GENERAL TRADING L.L.C,ir
ACE PETROCHEM FZE,ir
TRANS ARCTIC GLOBAL MARINE SERVICES PTE. LTD.,ir
THEMIS LIMITED,ir
"SHANDONG JINCHENG PETROCHEMICAL GROUP CO., LTD.",ir
FOTIS LINES INCORPORATED,ir
EGIR SHIPPING LTD,ir
BETENSH GLOBAL INVESTMENT LIMITED AND DONG DONG SHIPPING LIMITED,ir
ARES SHIPPING LIMITED,ir
REGAL LIBERTY LIMITED,ir
HONG KONG HANGSHUN SHIPPING LIMITED,ir
"U BEACON SHIPPING CO., LIMITED",ir
VS OIL TERMINAL FZE,ir
VS TANKERS FREE ZONE ENTITY - F.Z.E DMCC BRANCH,ir
RHINE SHIPPING DMCC,ir
VS PETROLEUM DMCC,ir
THE WILLETT HOTEL LIMITED,ir
ROBINBEST LIMITED,ir
ISLE INNOVATION INC,ir
SAI SABURI CONSULTING SERVICES PRIVATE LIMITED,ir
BREEZE MARINE ASSET MANAGEMENT INC,ir
"QINGDAO PORT HAIYE DONGJIAKOU OIL PRODUCTS CO., LTD",ir
KAVEH METHANOL COMPANY,ir
ARIA SINA CONTROL INTERNATIONAL TECHNICAL INSPECTION CO.,ir
ASIAN SEA ANGEL SHIPPING CO,ir
WESER SHIPPING INC.,ir
XANTE LINE INC.,ir
YUG SHIPPING INC.,ir
CAPTAIN DYNASTY SHIPPING L.L.C,ir
ZALE SHIPPING INC.,ir
TEODOR SHIPPING L.L.C,ir
NEO SHIPPING INC.,ir
SHREEJI GEMS LTD,ir
CORA LINES INC.,ir
TETON GLOBAL TRADING LIMITED,ir
CARLINGTON PETROCHEM FZCO,ir
ETANA TRADING DMCC,ir
ULTIMATE SPIRIT LIMITED,ir
MAX ENERGY FUEL TRADING L.L.C,ir
G M C G SHIPPING L.L.C,ir
GMCG LTD.,ir
INTERNATIONAL SHIPPING BUREAU L.L.C,ir
GMCG HOLDING CORP,ir
MILAVOUS GROUP LTD,ir
GREEN ENERGY CHEMICALS ENERJI KIMYASALLARI SANAYI TICARET ANONIM SIRKETI,ir
MILAVOUS COMMODITIES HOLDING LIMITED,ir
MILAVOUS HOLDING LIMITED,ir
NOVA LINES INC.,ir
REEL SHIPPING L.L.C,ir
OCEAN LEONID INVESTMENTS LTD,ir
NEST WISE PETROLEUM L.L.C,ir
OCEAN LEONID INVESTMENTS AG,ir
OCEAN LEONID INVESTMENTS SINGAPORE PTE. LTD.,ir
OENERGY COMMODITIES DMCC,ir
NEST WISE TRADING S.R.L.,ir
NEST WISE TRADING PTE. LTD.,ir
ARMADA GLOBAL SHIPPING DMCC,ir
KOBAN SHIPPING L.L.C,ir
FRACTAL MARINE DMCC,ir
PROGWIN SHIPPING SA,ir
MEUSE SHIPPING INC.,ir
BACKSTREET PALM CORP,ir
BPT SHIPPING CO L.L.C,ir
MAHADEV MARITIME INC,ir
KYLO SHIPPING INC.,ir
WESTANKER LIMITED,ir
WESTANKER DENIZCILIK VE TICARET LIMITED SIRKETI,ir
CRIOS SHIPPING L.L.C,ir
OKA SHIPPING INC.,ir
DRACO BUREN SHIPPING PTE. LTD.,ir
THE ZULU SHIPS MANAGEMENT AND OPERATION - SOLE PROPRIETORSHIP L.L.C,ir
WANTA SHIPPING L.L.C-FZ,ir
ALGAE SHIP CHARTER - FZCO,ir
MARVISE SMC DMCC,ir
COBER FZCO DMCC,ir
SILVER TETRA MARINE CO.,ir
RAVI LINES INC,ir
KANTI LINES INC.,ir
CYRUS OFFSHORE BANK,ir
PASARGAD ARIAN INFORMATION AND COMMUNICATION TECHNOLOGY COMPANY,ir
"ZHOUSHAN JINRUN PETROLEUM TRANSFER CO., LTD.",ir
ETIHAD ENGINEERING AND MARINE SERVICES FZC,ir
ARZO ALTEJARA FOR GOODS WHOLESALERS CO. L.L.C,ir
ENSA SHIP MANAGEMENT PRIVATE LIMITED,ir
AVANI LINES INC,ir
"PEACE WORTH SHIPPING CO., LIMITED",ir
FIVA PLASTIK ANONIM SIRKETI,ir
TRIOLIN TRADE FZCO,ir
TANAIS WAY GENERAL TRADING L.L.C,ir
KANCHAN POLYMERS,ir
ALCHEMICAL SOLUTIONS PRIVATE LIMITED,ir
ELM KIMYA ITHALAT IHRACAT SANAYI VE TICARET ANONIM SIRKETI,ir
LAVINYA PLAST KIMYEVI MADDELER VE PETROL URUNLERI NAKLIYE SANAYI IC VE DIS TICARET ANONIM SIRKETI,ir
FARADANESH TECHNICAL INSPECTION SERVICES COMPANY,ir
RAMNIKLAL S GOSALIA AND COMPANY,ir
JUPITER DYE CHEM PRIVATE LIMITED,ir
GLOBAL INDUSTRIAL CHEMICALS LIMITED,ir
BAB AL BARSHA TRADING L.L.C,ir
PERSISTENT PETROCHEM PRIVATE LIMITED,ir
PT. ORIENTAL COMMERCE GARDEN,ir
QESHM ARIAN DATIS SOFTWARE COMPANY,ir
ARVAND ARIAN PASARGAD COMMUNICATIONS AND INFORMATION TECHNOLOGY PAYMENT COMPANY,ir
RASHID SAMANEH ELECTRONIC PROCESSING COMPANY,ir
SHERKAT-E BARID FANAVAR ARIAN,ir
ARIAN PASARGAD COMMUNICATIONS AND INFORMATION TECHNOLOGY INFRASTRUCTURE COMPANY,ir
ARIAN PASARGAD COMMUNICATIONS AND INFORMATION TECHNOLOGY ECOSYSTEM DEVELOPMENT COMPANY,ir
ARMAN KISH DATA COMMUNICATIONS AND INFORMATION TECHNOLOGY COMPANY,ir
PASARGAD ELECTRONIC PAYMENT SERVICES COMPANY,ir
RUNC EXCHANGE SYSTEM COMPANY,ir
BABYLON NAVIGATION DMCC,ir
TRYFO NAVIGATION INC.,ir
ODIAR MANAGEMENT S.A.,ir
TOPSAIL SHIPHOLDING INC.,ir
KEELY SHIPTRADE LIMITED,ir
PANAREA MARINE S.A.,ir
GALAXY OIL FZ LLC,ir
OZARKA SHIPPING - FZCO,ir
CHANGBAI GLORY SHIPPING LIMITED,ir
MARANT SHIPPING AND TRADING S.A.,ir
SQUARE TANKER MANAGEMENT LTD.,ir
COMFORD MANAGEMENT S.A.,ir
UNITED CHARTERING S.A.,ir
CRISTOBAL MARINE CORP.,ir
"YANGSHAN SHENGANG INTERNATIONAL PETROLEUM STORAGE AND TRANSPORTATION CO., LTD",ir
ANGLO PREMIER SHIPPING PTE. LTD.,ir
HOZDRA GROUP LIMITED,ir
"NEOWAVE MANAGEMENT CO., LTD",ir
LOGOS MARINE PTE. LTD.,ir
GREAT TIMES SHIPPING LIMITED,ir
YU HONG DE COMPANY LIMITED,ir
JULIET TRADING LIMITED,ir
S E A SHIP MANAGEMENT LLC,ir
BLUE OCEAN MARINE COMPANY LIMITED,ir
SKIATHOS MARITIME AND TRADING SA,ir
BERTHA SHIPPING INC.,ir
EVIE LINES INC.,ir
VEGA STAR SHIP MANAGEMENT PRIVATE LIMITED,ir
TITAN SEAWAYS LTD,ir
SULLANA INC,ir
SINOPER SHIPPING CO,ir
ABGO TRADING LIMITED,ir
AIX COMPANY LIMITED,ir
"CRIMSON BLUE TRADING CO., LIMITED",ir
MARKAN WHITE TRADING CRUDE OIL ABROAD CO. L.L.C,ir
"RAVENALA TRADING CO., LIMITED",ir
AMITA PETROCHEMICAL TRADING L.L.C,ir
SLOGAL ENERGY DMCC,ir
AERILYN SHIPPING INC.,ir
OCEAN INC.,ir
"QINGDAO HEXIN UNITED INTERNATIONAL SHIPPING AGENCY CO., LTD.",ir
"RIZHAO SHIHUA CRUDE OIL TERMINAL CO., LTD.",ir
C. J. SHAH AND CO.,ir
DIMOND TOWN SHIPPING COMPANY,ir
B K SALES CORPORATION,ir
GOLDEN INTERNATIONAL FZE,ir
MODY CHEM,ir
TETHIS SHIPPING CO,ir
ERBIUM TRADING L.L.C,ir
SHIV TEXCHEM LIMITED,ir
CHEMIX TRADING L.L.C,ir
PAARICHEM RESOURCES LLP,ir
ABY PLASTIK AMBALAJ VE ENERJI SANAYI TICARET ANONIM SIRKETI,ir
"JIANGYIN FOREVERSUN CHEMICAL LOGISTICS CO., LTD.",ir
HENGYANG PETROCHEMICAL LOGISTICS LIMITED,ir
CHEMOVICK PRIVATE LIMITED,ir
DINA PETROKIMYA SANAYI TICARET ANONIM SIRKETI,ir
KERMANSHAH PETROCHEMICAL INDUSTRIES CO.,ir
YESIL BASAK TARIM SANAYI VE TICARET LIMITED SIRKETI,ir
MIKROTEKNIK KIMYEVI MADDELER LABORATUVAR MALZEMELERI VE CIHAZLARI SANAYI TICARET LIMITED SIRKETI,ir
SOFT AIR GENERAL TRADING L.L.C,ir
INDISOL MARKETING PRIVATE LIMITED,ir
HARESH PETROCHEM PRIVATE LIMITED,ir
PIONEER TANKERS MARINE INCORPORATED,ir
THASOS MARITIME AND TRADING S.A.,ir
SERIFOS MARITIME AND TRADING S.A.,ir
TILOS MARITIME AND TRADING S.A.,ir
CORFU MARITIME AND TRADING S.A.,ir
STRASSELINK PTE. LTD.,ir
ANBO SHIPPING PTE. LTD.,ir
DEEP CURRENT SHIPPING L.L.C,ir
ERST GROUP LTD,ir
TR6 PETRO INDIA LLP,ir
BONJOURE INTERNATIONAL FZCO,ir
BONJOURE COMMODITY F.Z.E.,ir
ARKADIA MARITIME INCORPORATED,ir
EVEREST SEA NAVIGATION SA,ir
ADONIS SHIPPING INC,ir
CONCORD SHIPPING INC.,ir
KURDOS SHIPPING INC.,ir
AGAPE SHIPPING INC,ir
MARUTI SHIPPING INC.,ir
RED SEA SHIP MANAGEMENT LLC,ir
M K A SHIPPING INC,ir
GOLDEN GATE SHIP MANAGEMENT,ir
PHOENIX SHIP MANAGEMENT FZE,ir
ARIHANT SHIPPING INC.,ir
DARYA SHIPPING PRIVATE LIMITED,ir
SINOSTAR MARINE GROUP LIMITED,ir
HEMERA LINES INC.,ir
RUKBAT MARINE SERVICES CO,ir
ALEAH SHIPPING INC,ir
J M A SHIPPING INC.,ir
S M A SHIPPING INC.,ir
HIGH SEAS PETROLEUM LLC,ir
QATRAT ALNADA ALMASI SHIP MANAGEMENT L.L.C,ir
EMPRESA AERONAUTICA NACIONAL SA,ir
NIKAN PEZHVAK ARIA KISH COMPANY,ir
NANSHAN LTD,ir
SHINE ROAD TRADING FZE,ir
CRYSTAL GAS FZE,ir
FARDIS PRISON,ir
TURKIZ FUEL TRADING LLC,ir
EMPIRE INTERNATIONAL TRADING FZE,ir
GOLDEN MIST PTE. LTD.,ir
DESERT PULSE TRADING FZE,ir
LIMONIUM PETROCHEMICALS TRADING LLC SOC,ir
HMS TRADING FZE,ir
NAVIERA SHIPPING AND TRADING FZ LLC,ir
TEJARAT HERMES ENERGY QESHM,ir
HORIZON HARVEST SHIPPING LLC,ir
GALERAN SERVICE CORP,ir
AAYAT SHIP MANAGEMENT PRIVATE LIMITED,ir
BLACK STONE OIL AND GAS,ir
LONGEVITY SHIPPING LIMITED,ir
ODYSSEY MARINE INC.,ir
PAROS MARITIME S.A.,ir
WANSA GAS SHIPPING CO.,ir
BENOIL SHIPPING INC,ir
TRADE BRIDGE GLOBAL INC.,ir
ZEDCEX EXCHANGE LTD,ir
ZEDXION EXCHANGE LTD,ir
FLEET TANQO PRIVATE LIMITED,ir
MANARAT ALKHALEEJ MARINE SERVICES FZE,ir
DIAKO IC VE DIS TICARET ANONIM SIRKETI,ir
MHK SHIPPING CORP,ir
VICENS MARINE CO,ir
STAREX DIS TICARET KIMYA ANONIM SIRKETI,ir
BAKHT AL AZHAR TRADING L.L.C,ir
"SHANGHAI QIZHANG SHIP MANAGEMENT CO., LTD.",ir
ALL WIN SHIPPING MANAGEMENT LIMITED,ir
AMON KIMYA VE MAKINA SANAYI VE TICARET LIMITED SIRKETI,ir
ELYSIAN HORIZON CORP,ir
MARS OCEANWAY INC,ir
FLUXUS MARINE INC,ir
MPHASIS MARINE SOLUTIONS FZE,ir
QINGDAO OCEAN KIMO SHIP MANAGEMENT CO LTD,ir
ELEVATE MARINE MANAGEMENT PRIVATE LIMITED,ir
AURA LINES INC.,ir
HAPUKA MARINE LTD.,ir
BEHENGAM TADBIR QESHM SHIPPING AND MARITIME SERVICES COMPANY,ir
POROS MARITIME VENTURES S.A.,ir
OCEAN KUDOS SHIPPING COMPANY LIMITED,ir
MISTRAL FLEET CO LTD,ir
VAST MARINE INC,ir
NYR SHIPPING CO.,ir
KAITO NAVIGATION SA,ir
ITHAKI MARITIME AND TRADING S.A.,ir
GOLDWAVE MARITIME SERVICES INC,ir
SHIPZA SHIPPING LIMITED,ir
TAYLOR SHIPPING FZCO,ir
NARDIE INTERNATIONAL S.A.,ir
